listing_id,listing_name,room_type,cluster_id,guests,bedrooms,baths,cleaning_fee,num_reviews_x,rating_overall,superhost,professional_management,ttm_avg_rate,ttm_occupancy
25981960,Tiny Living in Wilmore/South End,entire_home,0,5.0,2.0,1.0,90.0,417,4.73,1,0,185.4,0.512
33718219,"3000 Sq Ft, 5 Bedroom, City with ♥ Parking (2)",entire_home,1,13.0,5.0,3.5,185.0,138,4.93,1,0,468.1,0.455
9875356,The Duchess of (1st Ward) Uptown!,entire_home,0,4.0,1.0,1.0,118.0,43,4.95,0,0,124.2,0.452
20725519,Chic Comfortable 2BR with Porch near Dilworth,entire_home,0,4.0,2.0,1.0,140.0,41,4.66,1,1,190.5,0.31
32118226,Uptown Charlotte Loft Near Bank of America Stadium,entire_home,0,2.0,1.0,1.0,45.0,388,4.89,1,0,130.0,0.584
15791330,"Luxury Guest Apt next to Uptown, Fine Dining,Parks",entire_home,0,4.0,2.0,2.0,125.0,91,4.99,1,0,195.8,0.471
30174798,Historic Cherry Bungalow House - Midtown,entire_home,0,4.0,2.0,1.0,165.0,55,4.93,1,0,144.7,0.444
19455055,Family Home In Cozy Neighborhood Cul-de-Sac,entire_home,1,5.0,4.0,3.0,250.0,39,4.95,1,0,257.1,0.29
24831464,Noda luxury Charlotte,entire_home,0,4.0,1.0,1.0,105.0,34,4.68,0,0,136.7,0.274
26249989,Uptown 1st Ward | Patio with Hammock | 2BD Hip Apt,entire_home,0,6.0,2.0,1.0,82.0,482,4.74,1,1,169.8,0.6
27338626,Cute and spacious single family home/pet friendly,entire_home,1,6.0,3.0,2.5,0.0,33,4.61,1,0,187.7,0.285
23973937,Minutes to Uptown/Airport/Stadium,entire_home,1,6.0,3.0,3.0,125.0,281,4.68,0,0,165.8,0.534
139741,Swanky Furnished Townhome in Uptown Downtown,entire_home,0,3.0,1.0,1.0,138.0,172,4.64,0,1,167.0,0.167
11636463,"Arts District, Nature trail, private pool, bikes",entire_home,1,2.0,1.0,2.0,175.0,10,4.7,0,0,174.2,0.11
32047210,Lillie's Place,entire_home,1,6.0,3.0,2.0,40.0,25,4.92,1,0,151.2,0.066
